section_type,section_id,section_name,section_name,question_required,question_title,question_desc,question_placeholder_text,question_validation_text,question_type,question_answer_object,question_answer_fileformat,question_answer_scale_min_max_step,question_answer_option01,question_answer_option02,question_answer_option03,question_answer_option04,question_answer_option05,question_answer_option06,question_answer_option07,question_answer_option08,question_answer_option09,question_answer_option10,question_answer_option11,question_answer_option12,question_answer_option13,question_answer_option14,question_answer_option15,question_answer_option16,question_answer_option17,question_answer_option18,question_answer_option19,question_answer_option20,question_answer_option21,question_answer_option22,question_answer_option23,question_answer_option24,question_answer_option25
Specifica,A1.1,A1.1 – Impresa o altra organizzazione profit,,TRUE,number dipendenti,,,,radio,,,,0-14,15-49,50-249,>250,,,,,,,,,,,,,,,,,,,,,
Specifica,A1.1,A1.1 – Impresa o altra organizzazione profit,,TRUE,Anno di nascita dell’impresa,,,,data,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Specifica,A1.1,A1.1 – Impresa o altra organizzazione profit,,TRUE,Anno di avvio delle iniziative nel campo dell’Economia circolare,,,,data,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Specifica,A1.1,A1.1 – Impresa o altra organizzazione profit,,TRUE,Descrizione della impresa o altra organizzazione profit,"Min. 500 caratteri, max. 2000 caratteri. Utilizza la terza persona e il tempo verbale presente.",,,text_long_alfanum,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Specifica,A1.2,A1.2 - Associazione o altra organizzazione non profit,,TRUE,Denominazione,,,,text_short_alfanum,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Specifica,A1.2,A1.2 - Associazione o altra organizzazione non profit,,TRUE,Indirizzo sede,,,,text_short_alfanum,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Specifica,A1.2,A1.2 - Associazione o altra organizzazione non profit,,TRUE,Regione,,,,text_short_alfanum,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Specifica,A1.2,A1.2 - Associazione o altra organizzazione non profit,,TRUE,Provincia,,,,text_short_alfanum,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Specifica,A1.2,A1.2 - Associazione o altra organizzazione non profit,,TRUE,Comune,,,,text_short_alfanum,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Specifica,A1.2,A1.2 - Associazione o altra organizzazione non profit,,TRUE,Sito web,,,,text_short_alfanum,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Specifica,A1.2,A1.2 - Associazione o altra organizzazione non profit,,TRUE,Tipologia di organizzazione,,,,radio,,,,Associazione culturale,Associazione ONLUS,Cooperativa sociale di tipo B o C,Fondazione,Comitato civico,,,,,,,,,,,,,,,,,,,,
Specifica,A1.2,A1.2 - Associazione o altra organizzazione non profit,,TRUE,Finalità e settore di attività definiti da statuto,Max. 250 caratteri,,,text_long_alfanum,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Specifica,A1.2,A1.2 - Associazione o altra organizzazione non profit,,TRUE,B2B/B2C (La sua organizzazione offre al consumatore diretto (business to consumer - B2C) oppure a imprese o altre realtà commerciali (business to business - B2B)?,,,,radio,,,,B2B,B2C,Entrambe,,,,,,,,,,,,,,,,,,,,,,
Specifica,A1.2,A1.2 - Associazione o altra organizzazione non profit,,TRUE,number dipendenti,,,,radio,,,,0-14,15-49,50-249,>250,,,,,,,,,,,,,,,,,,,,,
Specifica,A1.2,A1.2 - Associazione o altra organizzazione non profit,,TRUE,number soci,,,,radio,,,,<10,10-100,100-200,>200,,,,,,,,,,,,,,,,,,,,,
Specifica,A1.2,A1.2 - Associazione o altra organizzazione non profit,,TRUE,number volontari,,,,radio,,,,<10,10-100,100-200,>200,,,,,,,,,,,,,,,,,,,,,
Specifica,A1.2,A1.2 - Associazione o altra organizzazione non profit,,TRUE,Anno di nascita dell’organizzazione,,,,data,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Specifica,A1.2,A1.2 - Associazione o altra organizzazione non profit,,TRUE,Anno di avvio delle iniziative nel campo dell’Economia circolare,,,,data,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Specifica,A1.2,A1.2 - Associazione o altra organizzazione non profit,,TRUE,Descrizione dell’associazione o altra organizzazione no profit,"Min. 500 caratteri, max. 2000 caratteri. Utilizza la terza persona e il tempo verbale presente.",,,text_long_alfanum,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Specifica,A1.3,A1.3 - Ente di ricerca,,TRUE,Denominazione,,,,text_short_alfanum,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Specifica,A1.3,A1.3 - Ente di ricerca,,TRUE,Indirizzo sede,,,,text_short_alfanum,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Specifica,A1.3,A1.3 - Ente di ricerca,,TRUE,Regione,,,,text_short_alfanum,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Specifica,A1.3,A1.3 - Ente di ricerca,,TRUE,Provincia,,,,text_short_alfanum,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Specifica,A1.3,A1.3 - Ente di ricerca,,TRUE,Comune,,,,text_short_alfanum,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Specifica,A1.3,A1.3 - Ente di ricerca,,TRUE,Sito web,,,,text_short_alfanum,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Specifica,A1.3,A1.3 - Ente di ricerca,,TRUE,Tipologia di ente,,,,radio,,,,Pubblico,Privato,Altro (specificare),,,,,,,,,,,,,,,,,,,,,,
Specifica,A1.3,A1.3 - Ente di ricerca,,TRUE,Temi di ricerca e settori di applicazione,,,,text_short_alfanum,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Specifica,A1.3,A1.3 - Ente di ricerca,,TRUE,number dipendenti,,,,text_short_alfanum,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Specifica,A1.3,A1.3 - Ente di ricerca,,TRUE,Anno di nascita dell’ente di ricerca,,,,data,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Specifica,A1.3,A1.3 - Ente di ricerca,,TRUE,Anno di avvio delle iniziative nel campo dell’Economia circolare,,,,data,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Specifica,A1.3,A1.3 - Ente di ricerca,,TRUE,Descrizione dell’ente di ricerca,"Min. 500 caratteri, max. 2000 caratteri. Utilizza la terza persona e il tempo verbale presente.",,,text_short_alfanum,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Specifica,A1.4,A1.4 - Pubblica amministrazione,,TRUE,Denominazione,,,,text_short_alfanum,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Specifica,A1.4,A1.4 - Pubblica amministrazione,,TRUE,Indirizzo sede,,,,text_short_alfanum,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Specifica,A1.4,A1.4 - Pubblica amministrazione,,TRUE,Regione,,,,text_short_alfanum,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Specifica,A1.4,A1.4 - Pubblica amministrazione,,TRUE,Provincia,,,,text_short_alfanum,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Specifica,A1.4,A1.4 - Pubblica amministrazione,,TRUE,Comune,,,,text_short_alfanum,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Specifica,A1.4,A1.4 - Pubblica amministrazione,,TRUE,Sito web,,,,text_short_alfanum,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Specifica,A1.4,A1.4 - Pubblica amministrazione,,TRUE,Tipologia di ente pubblico,,,,radio,,,,Ministero,Regione,Provincia,Comune,Ente Parco,Altro (specificare),,,,,,,,,,,,,,,,,,,
Specifica,A1.4,A1.4 - Pubblica amministrazione,,TRUE,number dipendenti,,,,radio,,,,0-14,15-49,50-249,>250,,,,,,,,,,,,,,,,,,,,,
Specifica,A1.4,A1.4 - Pubblica amministrazione,,TRUE,Anno di nascita dell’ente/istituzione,,,,data,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Specifica,A1.4,A1.4 - Pubblica amministrazione,,TRUE,Anno di avvio delle iniziative nel campo dell’Economia circolare,,,,data,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Specifica,A1.4,A1.4 - Pubblica amministrazione,,TRUE,Descrizione della Pubblica amministrazione,"Min. 500 caratteri, max. 2000 caratteri. Utilizza la terza persona e il tempo verbale presente.",,,text_long_alfanum,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comune,A2,A2 - Orientamenti generali dell’organizzazione in tema di ec,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comune,A2 - D1,A2 - Orientamenti generali dell’organizzazione in tema di ec,Dimensione 1 – progettazione circolare (ecodesign),TRUE,"La tua organizzazione utilizza strumenti a supporto della progettazione in ottica di ciclo, quali LCA?",,,,boolean,,,,Si,No,,,,,,,,,,,,,,,,,,,,,,,
Comune,A2 - D10,A2 - Orientamenti generali dell’organizzazione in tema di ec,Dimensione 10 - riferimenti a standard ambientali e riconoscimenti ottenuti,TRUE,La tua organizzazione aderisce a sistemi di gestione ambientale e/o energetica?,,,,checkbox,,,,EMAS,ISO 14001,ISO 50001,Nessuno dei precedenti,,,,,,,,,,,,,,,,,,,,,
Comune,A2 - D10,A2 - Orientamenti generali dell’organizzazione in tema di ec,Dimensione 10 - riferimenti a standard ambientali e riconoscimenti ottenuti,TRUE,La tua organizzazione redige il bilancio di sostenibilità?,,,,boolean,,,,Si, No,,,,,,,,,,,,,,,,,,,,,,,
Comune,A2 - D10,A2 - Orientamenti generali dell’organizzazione in tema di ec,Dimensione 10 - riferimenti a standard ambientali e riconoscimenti ottenuti,TRUE,POLITICHE DI SOSTENIBILITÀ AMBIENTALE E SOCIALE”,"Min. 500 caratteri, max. 2000 caratteri. Utilizza la terza persona e il tempo verbale presente.
",,,text_long_alfanum,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comune,A2 - D2,A2 - Orientamenti generali dell’organizzazione in tema di ec,Dimensione 2 - approvvigionamento materiali e risorse,TRUE,La tua organizzazione ha sostituito l’uso di energia e carburanti da fonti fossili?,,,,checkbox,,,,"Si, acquistando energia elettrica da fonti rinnovabili","Si, acquistando energia termica da fonti rinnovabili","Si, acquistando carburanti da fonti rinnovabili","Si, autoproducendo energia da fonti rinnovabili","Si, autoproducendo carburanti da fonti rinnovabili","No
",,,,,,,,,,,,,,,,,,,
Comune,A2 - D2,A2 - Orientamenti generali dell’organizzazione in tema di ec,Dimensione 2 - approvvigionamento materiali e risorse,TRUE,La tua organizzazione consegue Certificati Verdi,,,,boolean,,,,Si," No
",,,,,,,,,,,,,,,,,,,,,,,
Comune,A2 - D3,A2 - Orientamenti generali dell’organizzazione in tema di ec,Dimensione 3 - consumo di risorse naturali e materia,TRUE,La tua organizzazione ha attivato politiche e strumenti per la riduzione dei consumi di energia elettrica?,,,,boolean,,,,Si," No
",,,,,,,,,,,,,,,,,,,,,,,
Comune,A2 - D3,A2 - Orientamenti generali dell’organizzazione in tema di ec,Dimensione 3 - consumo di risorse naturali e materia,TRUE,La tua organizzazione ha attivato politiche e strumenti per la riduzione dei consumi di energia termica?,,,,boolean,,,,Si," No
",,,,,,,,,,,,,,,,,,,,,,,
Comune,A2 - D3,A2 - Orientamenti generali dell’organizzazione in tema di ec,Dimensione 3 - consumo di risorse naturali e materia,TRUE,La tua organizzazione ha attivato politiche e strumenti per la riduzione dei consumi di carburante per gli spostamenti di merci e persone?,,,,boolean,,,,Si," No
",,,,,,,,,,,,,,,,,,,,,,,
Comune,A2 - D3,A2 - Orientamenti generali dell’organizzazione in tema di ec,Dimensione 3 - consumo di risorse naturali e materia,TRUE,Nella tua organizzazione è formalizzata la presenza della figura di energy manager?,,,,boolean,,,,Si," No
",,,,,,,,,,,,,,,,,,,,,,,
Comune,A2 - D3,A2 - Orientamenti generali dell’organizzazione in tema di ec,Dimensione 3 - consumo di risorse naturali e materia,TRUE,La tua organizzazione consegue Certificati Bianchi (o titoli di Efficienza Energetica)?,,,,boolean,,,,Si," No
",,,,,,,,,,,,,,,,,,,,,,,
Comune,A2 - D3,A2 - Orientamenti generali dell’organizzazione in tema di ec,Dimensione 3 - consumo di risorse naturali e materia,TRUE,La tua organizzazione ha attivato politiche e strumenti per la riduzione dei consumi idrici?,,,,boolean,,,,Si," No
",,,,,,,,,,,,,,,,,,,,,,,
Comune,A2 - D4,A2 - Orientamenti generali dell’organizzazione in tema di ec,"Dimensione 4 - gestione rifiuti, scarti ed emissioni",TRUE,La tua organizzazione ha incrementato e/o ha attivato politiche e strumenti per una gestione sostenibile dei rifiuti?,,,,checkbox,,,,"Si, con aumento della quota di rifiuti raccolti in maniera differenziata"," Si, con aumento della quota di rifiuti raccolti avviati a recupero e riciclo"," No
",,,,,,,,,,,,,,,,,,,,,,
Comune,A2 - D4,A2 - Orientamenti generali dell’organizzazione in tema di ec,"Dimensione 4 - gestione rifiuti, scarti ed emissioni",TRUE,La tua organizzazione utilizza strumenti per la misurazione delle emissioni climalteranti?,,,,checkbox,,,,"Si, Carbon Footprint"," Si, altro strumento di misurazione"," No
",,,,,,,,,,,,,,,,,,,,,,
Comune,A2 - D4,A2 - Orientamenti generali dell’organizzazione in tema di ec,"Dimensione 4 - gestione rifiuti, scarti ed emissioni",TRUE,La tua organizzazione compensa le emissioni climalteranti non evitabili?,,,,checkbox,,,,"Si, mediante l’acquisto di Certificati Verdi"," Si, mediante l’acquisto di crediti"," Si, tramite la realizzazione di progetti (es: riforestazione)", No,,,,,,,,,,,,,,,,,,,,,
Comune,A2 - D5,A2 - Orientamenti generali dell’organizzazione in tema di ec,Dimensione 5 - trasporti e distribuzione,TRUE,"La tua organizzazione aderisce a sistemi di certificazione dei trasporti e logistica, quali per esempio il protocollo Sustainable Logistics?",,,,boolean,,,,Si," No
",,,,,,,,,,,,,,,,,,,,,,,
Comune,A2 - D6,A2 - Orientamenti generali dell’organizzazione in tema di ec,Dimensione 6 - promozione di stili di vita sostenibili,TRUE,La tua organizzazione promuove la mobilità sostenibile per i tragitti casa-lavoro dei dipendenti?,,,,checkbox,,,,"Si, attraverso car pooling aziendale","Si, attraverso car sharing aziendale","Si, fornendo servizi per la mobilità ciclistica","Si, fornendo la connessione con la rete ciclopedonale","Si, fornendo la connessione con la rete del TPL","Si, è istituita la figura di mobility manager",No,,,,,,,,,,,,,,,,,,
Comune,A2 - D6,A2 - Orientamenti generali dell’organizzazione in tema di ec,Dimensione 6 - promozione di stili di vita sostenibili,TRUE,La tua organizzazione promuove comportamenti virtuosi dei dipendenti in relazione alla riduzione della produzione dei rifiuti e loro corretta gestione?,,,,checkbox,,,,"Si, fornendo informazione e comunicazione su scopi e risultati di comportamenti sostenibili in tema di rifiuti","Si, sostenendo la riduzione del consumo di carta (es: stampa necessaria e intelligente) e imballaggi (es: consumo acqua del rubinetto o da distributori)","Si, sostenendo il riutilizzo di carta e altri materiali/oggetti utilizzati","Si, sostenendo la raccolta differenziata anche delle frazioni generalmente non raccolte in ufficio (es: organico)", No,,,,,,,,,,,,,,,,,,,,
Comune,A2 - D6,A2 - Orientamenti generali dell’organizzazione in tema di ec,Dimensione 6 - promozione di stili di vita sostenibili,TRUE,La tua organizzazione promuove comportamenti virtuosi dei dipendenti in relazione alla riduzione del consumo di energia e acqua?,,,,checkbox,,,,"Si, fornendo informazione e comunicazione su scopi e risultati di comportamenti virtuosi in tema di consumi di energia e acqua","Si, fornendo strumenti per il monitoraggio dei consumi e della temperatura nei locali di lavoro","Si, formando sull’uso di strumenti per la riduzione dei consumi (es: ciabatte per lo spegnimento dello stand-by; illuminazione rubinetti temporizzati o con fotocellula; illuminazione con sensori di presenza nei luoghi di passaggio; regolatori della temperatura negli uffici)",No,,,,,,,,,,,,,,,,,,,,,
Comune,A2 - D6,A2 - Orientamenti generali dell’organizzazione in tema di ec,Dimensione 6 - promozione di stili di vita sostenibili,TRUE,La tua organizzazione è dotata di strumenti a sostegno del consumo sostenibile?,,,,checkbox,,,,"Si, strumenti che favoriscono la creazione di community finalizzate allo scambio e riuso di beni non utilizzati","Si, strumenti per sostenere il corretto riutilizzo, riciclo, conferimento dei beni a fine vita","Si, strumenti di comunicazione e informazione circa i vantaggi sociali, ambientali ed economici del consumo, sostenibile",No,,,,,,,,,,,,,,,,,,,,,
Comune,A2 - D7,A2 - Orientamenti generali dell’organizzazione in tema di ec,Dimensione 7 - filiera circolare,TRUE,La tua organizzazione utilizza un sistema di qualificazione ambientale e sociale dei fornitori (vendor rating sostenibile)?,,,,boolean,,,,Si," No
",,,,,,,,,,,,,,,,,,,,,,,
Comune,A2 - D7,A2 - Orientamenti generali dell’organizzazione in tema di ec,Dimensione 7 - filiera circolare,TRUE,"La tua organizzazione utilizza criteri ambientali e sociali per gli “acquisti caratteristici” (acquisti che entrano direttamente nel ciclo produttivo, per es. per una azienda tessile il macchinario di tessitura, il materiale tessile; per un ente di ricerca le attrezzature tecniche e tecnologiche)?",,,,boolean,,,,Si," No
",,,,,,,,,,,,,,,,,,,,,,,
Comune,A2 - D7,A2 - Orientamenti generali dell’organizzazione in tema di ec,Dimensione 7 - filiera circolare,TRUE,"La tua organizzazione utilizza criteri ambientali e sociali per gli “acquisti ordinari” (acquisti che non entrano nel ciclo produttivo, es: carta per ufficio, servizio mensa, noleggio auto, energia per gli uffici, etc.)?",,,,boolean,,,,Si," No
",,,,,,,,,,,,,,,,,,,,,,,
Comune,A2 - D7,A2 - Orientamenti generali dell’organizzazione in tema di ec,Dimensione 7 - filiera circolare,TRUE,"La tua organizzazione ha attivato partnership e accordi per la collaborazione stabile con altre organizzazioni finalizzata allo scambio di risorse - materie, sottoprodotti, cascami energetici, servizi, expertise, etc - in ottica di simbiosi industriale?",,,,boolean,,,,Si," No
",,,,,,,,,,,,,,,,,,,,,,,
Comune,A2 - D7,A2 - Orientamenti generali dell’organizzazione in tema di ec,Dimensione 7 - filiera circolare,TRUE,"La tua organizzazione sostiene la formazione di reti commerciali locali, attraverso la selezione di fornitori locali",,,,boolean,,,,Si," No
",,,,,,,,,,,,,,,,,,,,,,,
Comune,A2 - D8,A2 - Orientamenti generali dell’organizzazione in tema di ec,Dimensione 8 - valore condiviso e comunita' territoriali,TRUE,La tua organizzazione promuove il miglioramento ambientale/sociale degli attori della catena di fornitura?,,,,checkbox,,,,"Sì, giornate di formazione interna","Sì, workshop e convegni","Sì, azioni di sensibilizzazione mirate",No ,,,,,,,,,,,,,,,,,,,,,
Comune,A2 - D8,A2 - Orientamenti generali dell’organizzazione in tema di ec,Dimensione 8 - valore condiviso e comunita' territoriali,TRUE,La tua organizzazione realizza iniziative di valorizzazione delle comunità e del patrimonio naturalistico-culturale territoriale?,,,,checkbox,,,,"Sì, con eventi di sensibilizzazione e divulgazione","Sì, con laboratori e incontri formativi","Sì, con attività di promozione turistico-sportive","Sì, con campagne di sensibilizzazione",No,,,,,,,,,,,,,,,,,,,,
Comune,A2 - D8,A2 - Orientamenti generali dell’organizzazione in tema di ec,Dimensione 8 - valore condiviso e comunita' territoriali,TRUE,La tua organizzazione impiega stabilmente lavoratori residenti nell’area di insediamento (nello stesso comune o in quelli limitrofi)?,,,,radio,,,,"Si, fino al 10% del personale impiegato","Si, tra il 10% e il 20% del personale impiegato","Si, oltre il 20%","No
",,,,,,,,,,,,,,,,,,,,,
Comune,A2 - D8,A2 - Orientamenti generali dell’organizzazione in tema di ec,Dimensione 8 - valore condiviso e comunita' territoriali,TRUE,"La tua organizzazione ha promosso la creazione di altre realtà economiche, sociali e culturali connesse alla propria mission?",,,,checkbox,,,,"Sì, creazione di Onlus e/o Cooperative sociali","Sì, creazione di Fondazioni di erogazione","Sì, creazione di spazi culturali e/o sociali aperti al pubblico","Sì, magazine/blog di news ambientali","No
",,,,,,,,,,,,,,,,,,,,
Comune,A2 - D8,A2 - Orientamenti generali dell’organizzazione in tema di ec,Dimensione 8 - valore condiviso e comunita' territoriali,TRUE,La tua organizzazione ha individuato nuove figure professionali connesse all’Economia Circolare (Green Jobs)?,,,,checkbox,,,,"Si, che sono formate all’interno nell’organizzazione","Si, che sono ricercate all’esterno dell’organizzazione",No,,,,,,,,,,,,,,,,,,,,,,
Comune,A2 - D8,A2 - Orientamenti generali dell’organizzazione in tema di ec,Dimensione 8 - valore condiviso e comunita' territoriali,TRUE,La tua organizzazione si affida a intermediari finanziari attenti a promuovere politiche di sostenibilità e responsabilità sociale e ambientale?,,,,boolean,,,,Si, No,,,,,,,,,,,,,,,,,,,,,,,
Comune,A2 - D9,A2 - Orientamenti generali dell’organizzazione in tema di ec,Dimensione 9 - inclusività sociale,TRUE,La tua organizzazione ha attivato iniziative di conciliazione / welfare aziendale?,,,,checkbox,,,,"Si, flessibilità orario/luogo di lavoro"," Si, servizi/facilitazioni per la famiglia"," Si, benefit di natura monetaria", No,,,,,,,,,,,,,,,,,,,,,
Comune,A2 - D9,A2 - Orientamenti generali dell’organizzazione in tema di ec,Dimensione 9 - inclusività sociale,TRUE,La tua organizzazione ha attivato iniziative per la promozione dell’uguaglianza di genere?,,,,checkbox,,,,"Sì, utilizzo di linguaggio di genere nelle comunicazioni e nei documenti"," Sì, rotazione e/o condivisione delle cariche fra uomini e donne"," Sì, pari rappresentanza di uomini e donne negli organi rappresentativi"," Sì, azioni di comunicazione e sensibilizzazione mirate"," Nessuna delle precedenti
",,,,,,,,,,,,,,,,,,,,
Comune,A2 - D9,A2 - Orientamenti generali dell’organizzazione in tema di ec,Dimensione 9 - inclusività sociale,TRUE,La tua organizzazione impiega persone considerate soggetti svantaggiati in quota superiore al limite di legge?,,,,checkbox,,,,"Si, in particolare disabili fisici e/o psichici","Si, in particolare ex tossicodipendenti","Si, in particolare ex carcerati","Si, in particolare migranti","Si, altre categorie",No,,,,,,,,,,,,,,,,,,,
Comune,A2 - D9,A2 - Orientamenti generali dell’organizzazione in tema di ec,Dimensione 9 - inclusività sociale,TRUE,La tua organizzazione impiega lavoratori appartenenti a categorie protette in quota superiore al limite di legge?,,,,boolean,,,,Si, No,,,,,,,,,,,,,,,,,,,,,,,
Comune,A3,"C1 - Riferimenti e Contatti
",,TRUE,Nome e Cognome,,,,text_short_alfanum,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comune,A3,"C1 - Riferimenti e Contatti
",,TRUE,Incarico ricoperto o mansione svolta,,,,text_short_alfanum,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comune,A3,"C1 - Riferimenti e Contatti
",,TRUE,Contatto mail lavorativo,,,,text_short_alfanum,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comune,A3,"C1 - Riferimenti e Contatti
",,TRUE,Contatto telefonico lavorativo,,,,text_short_alfanum,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comune,A4,D1 - Liberatoria,,TRUE,Liberatoria per autorizzazione al trattamento e pubblicazione dati aziendali,,,,text_short_alfanum,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comune,B,B - Buona pratica,Buona pratica,TRUE,Quale iniziativa (o quali iniziative) svolta dalla tua organizzazione proponi di inserire nell’Atlante?,,,,radio,,,,Modello produttivo circolare (vai alla sezione B1.1),Prodotto circolare (vai alla sezione B1.2),Materia Prima Seconda (MPS) (vai alla sezione B1.3),Servizio circolare (vai alla sezione B1.4),"Oggetto (prodotto, attrezzatura, tecnologia, impianto, etc.) abilitante all’economia circolare (vai alla sezione B1.5)",Progetto di ricerca/sperimentazione sull’economia circolare (vai alla sezione B1.6),,,,,,,,,,,,,,,,,,,
Specifica,B1.1,B1.1 – Modello produttivo circolare,,TRUE,Nome del modello/organizzazione,,,,text_short_alfanum,,,,VALUE!,,,,,,,,,,,,,,,,,,,,,,,,
Specifica,B1.1,B1.1 – Modello produttivo circolare,,TRUE,Categoria merceologica prevalente,,,,radio,,,,Agricoltura e zootecnia,"Alimentari: produzione, distribuzione e ridistribuzione","Carta, stampa e cancelleria","Commercio e mercatini (grande, media e piccola distribuzione, mercati dell’usato, e-commerce)","Cultura, arte, sport, tempo libero","Edilizia, costruzioni, ristrutturazioni","Educazione, sensibilizzazione, informazione, accompagnamento e consulenza",Elettronica,"Piattaforme che supportano sharing, networking e scambio di beni e competenze e/o applicazione mobile",Imballaggi,Mobili e complementi di arredo,"Mobilità, trasporti e logistica",Produzione e distribuzione di energia,"Pulizia, igiene e cosmetica (casalinghi e prodotti per la persona)",Raccolta e gestione dei rifiuti,"Tessile, abbigliamento, pelli, calzature e accessori","Turismo, ricettività, eventi, ristorazione",,,,,,,,
Specifica,B1.1,B1.1 – Modello produttivo circolare,,FALSE,Categoria merceologica secondaria (opzionale),,,,radio,,,,Agricoltura e zootecnia,"Alimentari: produzione, distribuzione e ridistribuzione","Carta, stampa e cancelleria","Commercio e mercatini (grande, media e piccola distribuzione, mercati dell’usato, e-commerce)","Cultura, arte, sport, tempo libero","Edilizia, costruzioni, ristrutturazioni","Educazione, sensibilizzazione, informazione, accompagnamento e consulenza",Elettronica,"Piattaforme che supportano sharing, networking e scambio di beni e competenze e/o applicazione mobile",Imballaggi,Materia Prima Seconda (MPS) da materiali riciclati,Mobili e complementi di arredo,"Mobilità, trasporti e logistica",Produzione e distribuzione di energia,"Pulizia, igiene e cosmetica (casalinghi e prodotti per la persona)",Raccolta e gestione dei rifiuti,"Tessile, abbigliamento, pelli, calzature e accessori","Turismo, ricettività, eventi, ristorazione",,,,,,,
